data size: 40GB, 20 tables, each 8M rows. Two storage shards, each containing 10 tables. Kunlun-mysql Innodb buffer pool size: 16GB
======================== 500 conns ======================== 
Tue Mar 2 03:00:06 EST 2021
kunlun oltp.lua, read only, 10 point selects
sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 500
Report intermediate results every 1 second(s)
Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 500, tps: 8092.34, reads: 85071.09, writes: 0.00, response time: 172.02ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 500, tps: 9351.01, reads: 91712.14, writes: 0.00, response time: 154.86ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 500, tps: 8412.99, reads: 84098.91, writes: 0.00, response time: 114.84ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 500, tps: 8856.99, reads: 89126.90, writes: 0.00, response time: 141.27ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 500, tps: 8684.05, reads: 84116.47, writes: 0.00, response time: 111.95ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 500, tps: 8513.97, reads: 87257.64, writes: 0.00, response time: 113.88ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 500, tps: 9162.01, reads: 91416.10, writes: 0.00, response time: 129.10ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 500, tps: 9608.96, reads: 95976.56, writes: 0.00, response time: 139.00ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 500, tps: 9414.02, reads: 94311.23, writes: 0.00, response time: 149.31ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 500, tps: 8586.99, reads: 85761.88, writes: 0.00, response time: 119.93ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 500, tps: 8386.00, reads: 84207.05, writes: 0.00, response time: 117.34ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 500, tps: 8482.04, reads: 85162.40, writes: 0.00, response time: 124.39ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 500, tps: 8955.97, reads: 88352.72, writes: 0.00, response time: 120.11ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 500, tps: 9114.96, reads: 92937.56, writes: 0.00, response time: 120.83ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 500, tps: 9046.02, reads: 89494.18, writes: 0.00, response time: 129.72ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 500, tps: 9117.01, reads: 91233.08, writes: 0.00, response time: 128.40ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 500, tps: 8327.98, reads: 84596.78, writes: 0.00, response time: 113.13ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 500, tps: 8445.97, reads: 83682.73, writes: 0.00, response time: 101.00ms (95%), errors: 0.00, reconnects:  0.00
