data size: 40GB, 20 tables, each 8M rows. Two storage shards, each containing 10 tables. Kunlun-mysql Innodb buffer pool size: 16GB
======================== 500 conns ======================== 
Tue Mar 2 04:14:15 EST 2021
kunlun oltp-randtabs.lua, read(point-selects only) &write 
sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 500
Report intermediate results every 1 second(s)
Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 500, tps: 4606.68, reads: 49250.54, writes: 19261.65, response time: 217.33ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 500, tps: 4842.58, reads: 49607.74, writes: 20000.28, response time: 191.37ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 500, tps: 5006.44, reads: 49754.40, writes: 19801.75, response time: 206.73ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 500, tps: 5062.01, reads: 51372.11, writes: 20833.04, response time: 179.33ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 500, tps: 5438.00, reads: 53764.96, writes: 21259.99, response time: 159.43ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 500, tps: 5369.81, reads: 53985.11, writes: 21715.24, response time: 164.86ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 500, tps: 5081.18, reads: 50863.80, writes: 20241.72, response time: 178.69ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 500, tps: 5257.98, reads: 52766.76, writes: 21231.90, response time: 169.47ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 500, tps: 5473.02, reads: 54542.18, writes: 21632.07, response time: 170.33ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 500, tps: 5228.00, reads: 52256.99, writes: 20985.00, response time: 171.46ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 500, tps: 5465.00, reads: 54719.99, writes: 21974.00, response time: 149.27ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 500, tps: 5301.02, reads: 51927.15, writes: 20453.06, response time: 177.73ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 500, tps: 5394.98, reads: 55192.79, writes: 22466.91, response time: 214.03ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 500, tps: 5453.02, reads: 53673.24, writes: 21353.10, response time: 169.57ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 500, tps: 5119.99, reads: 51630.87, writes: 20562.95, response time: 172.90ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 500, tps: 5348.59, reads: 53285.95, writes: 20953.41, response time: 175.19ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 500, tps: 5329.35, reads: 53789.54, writes: 22072.45, response time: 165.95ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 500, tps: 5232.06, reads: 52445.58, writes: 21017.23, response time: 168.05ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 500, tps: 4818.99, reads: 48034.93, writes: 18950.97, response time: 236.96ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 500, tps: 5444.00, reads: 54327.01, writes: 21973.01, response time: 167.35ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 500, tps: 5525.25, reads: 55563.54, writes: 22144.01, response time: 151.56ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 500, tps: 5492.76, reads: 54859.56, writes: 21988.02, response time: 168.45ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 500, tps: 5471.84, reads: 54720.41, writes: 21939.36, response time: 154.68ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 500, tps: 5458.16, reads: 54024.56, writes: 21387.62, response time: 159.14ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 500, tps: 5324.00, reads: 53674.00, writes: 21685.00, response time: 168.05ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 500, tps: 5561.00, reads: 55455.05, writes: 22040.02, response time: 158.71ms (95%), errors: 0.00, reconnects:  0.00
[  27s] threads: 500, tps: 5459.99, reads: 54460.93, writes: 21769.97, response time: 150.97ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 500, tps: 5438.00, reads: 54113.02, writes: 21680.01, response time: 171.56ms (95%), errors: 0.00, reconnects:  0.00
[  29s] threads: 500, tps: 5239.01, reads: 52606.12, writes: 20983.05, response time: 174.25ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 500, tps: 5238.99, reads: 52427.90, writes: 21142.96, response time: 180.57ms (95%), errors: 0.00, reconnects:  0.00
[  31s] threads: 500, tps: 5315.00, reads: 52731.04, writes: 20743.02, response time: 173.73ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 500, tps: 5224.99, reads: 52933.89, writes: 21365.96, response time: 173.94ms (95%), errors: 0.00, reconnects:  0.00
[  33s] threads: 500, tps: 5446.01, reads: 54215.06, writes: 21731.03, response time: 157.39ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 500, tps: 5368.00, reads: 52860.05, writes: 20899.02, response time: 165.80ms (95%), errors: 0.00, reconnects:  0.00
[  35s] threads: 500, tps: 5020.00, reads: 50538.03, writes: 20300.01, response time: 204.94ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 500, tps: 5558.05, reads: 55689.51, writes: 22219.21, response time: 171.87ms (95%), errors: 0.00, reconnects:  0.00
[  37s] threads: 500, tps: 5379.87, reads: 54628.81, writes: 22139.57, response time: 167.05ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 500, tps: 5391.03, reads: 52706.32, writes: 20791.13, response time: 167.10ms (95%), errors: 0.00, reconnects:  0.00
[  39s] threads: 500, tps: 5512.00, reads: 54809.04, writes: 21743.01, response time: 173.94ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 500, tps: 4808.00, reads: 49160.98, writes: 19971.99, response time: 195.07ms (95%), errors: 0.00, reconnects:  0.00
[  41s] threads: 500, tps: 5463.00, reads: 54905.03, writes: 22246.01, response time: 176.51ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 500, tps: 5455.99, reads: 54249.87, writes: 21427.95, response time: 168.71ms (95%), errors: 0.00, reconnects:  0.00
[  43s] threads: 500, tps: 5560.01, reads: 55618.15, writes: 22124.06, response time: 155.65ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 500, tps: 5566.01, reads: 54346.06, writes: 21981.03, response time: 165.85ms (95%), errors: 0.00, reconnects:  0.00
[  45s] threads: 500, tps: 5080.99, reads: 52642.95, writes: 21159.98, response time: 172.49ms (95%), errors: 0.00, reconnects:  0.00
[  46s] threads: 500, tps: 5593.16, reads: 54794.53, writes: 21274.59, response time: 160.48ms (95%), errors: 0.00, reconnects:  0.00
[  47s] threads: 500, tps: 5282.84, reads: 53998.38, writes: 22249.33, response time: 171.20ms (95%), errors: 0.00, reconnects:  0.00
[  48s] threads: 500, tps: 5688.01, reads: 55435.07, writes: 21804.03, response time: 155.47ms (95%), errors: 0.00, reconnects:  0.00
[  49s] threads: 500, tps: 5350.00, reads: 54622.03, writes: 22106.01, response time: 159.71ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 500, tps: 5496.99, reads: 52467.94, writes: 21035.98, response time: 165.75ms (95%), errors: 0.00, reconnects:  0.00
[  51s] threads: 500, tps: 5231.01, reads: 55092.07, writes: 22052.03, response time: 150.16ms (95%), errors: 0.00, reconnects:  0.00
[  52s] threads: 500, tps: 5528.01, reads: 54204.07, writes: 21627.03, response time: 152.88ms (95%), errors: 0.00, reconnects:  0.00
[  53s] threads: 500, tps: 5521.63, reads: 55271.34, writes: 21997.54, response time: 167.00ms (95%), errors: 0.00, reconnects:  0.00
[  54s] threads: 500, tps: 5424.59, reads: 54806.97, writes: 21942.39, response time: 169.06ms (95%), errors: 0.00, reconnects:  0.00
[  55s] threads: 500, tps: 5513.76, reads: 54786.64, writes: 21850.06, response time: 160.77ms (95%), errors: 0.00, reconnects:  0.00
[  56s] threads: 500, tps: 5371.00, reads: 53709.04, writes: 21662.02, response time: 172.12ms (95%), errors: 0.00, reconnects:  0.00
[  57s] threads: 500, tps: 5361.99, reads: 53541.94, writes: 21102.98, response time: 172.02ms (95%), errors: 0.00, reconnects:  0.00
[  58s] threads: 500, tps: 5358.99, reads: 52863.88, writes: 20995.95, response time: 164.52ms (95%), errors: 0.00, reconnects:  0.00
[  59s] threads: 500, tps: 5323.77, reads: 54924.62, writes: 22531.02, response time: 170.02ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 500, tps: 5290.25, reads: 52431.44, writes: 20800.97, response time: 181.44ms (95%), errors: 0.00, reconnects:  0.00
[  61s] threads: 500, tps: 5359.96, reads: 52419.62, writes: 20735.85, response time: 169.82ms (95%), errors: 0.00, reconnects:  0.00
[  62s] threads: 500, tps: 5367.03, reads: 54456.31, writes: 21626.12, response time: 160.96ms (95%), errors: 0.00, reconnects:  0.00
[  63s] threads: 500, tps: 5291.99, reads: 53433.88, writes: 21768.95, response time: 179.60ms (95%), errors: 0.00, reconnects:  0.00
[  64s] threads: 500, tps: 4993.01, reads: 50027.14, writes: 19986.06, response time: 193.55ms (95%), errors: 0.00, reconnects:  0.00
[  65s] threads: 500, tps: 5532.96, reads: 54439.58, writes: 21399.84, response time: 166.10ms (95%), errors: 0.00, reconnects:  0.00
[  66s] threads: 500, tps: 5454.14, reads: 53572.40, writes: 21711.57, response time: 174.09ms (95%), errors: 0.00, reconnects:  0.00
[  67s] threads: 500, tps: 5437.90, reads: 54533.96, writes: 21624.59, response time: 167.30ms (95%), errors: 0.00, reconnects:  0.00
[  68s] threads: 500, tps: 5383.00, reads: 54703.03, writes: 22078.01, response time: 159.67ms (95%), errors: 0.00, reconnects:  0.00
[  69s] threads: 500, tps: 5340.88, reads: 53842.80, writes: 21484.52, response time: 166.80ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 500, tps: 5075.10, reads: 49994.01, writes: 19822.40, response time: 188.86ms (95%), errors: 0.00, reconnects:  0.00
[  71s] threads: 500, tps: 5151.00, reads: 52980.99, writes: 21729.00, response time: 198.19ms (95%), errors: 0.00, reconnects:  0.00
[  72s] threads: 500, tps: 5582.99, reads: 55336.87, writes: 21887.95, response time: 170.74ms (95%), errors: 0.00, reconnects:  0.00
[  73s] threads: 500, tps: 5532.02, reads: 55500.24, writes: 22264.10, response time: 183.02ms (95%), errors: 0.00, reconnects:  0.00
[  74s] threads: 500, tps: 5398.00, reads: 52710.01, writes: 20940.00, response time: 167.10ms (95%), errors: 0.00, reconnects:  0.00
[  75s] threads: 500, tps: 5413.00, reads: 55219.01, writes: 22300.01, response time: 148.42ms (95%), errors: 0.00, reconnects:  0.00
[  76s] threads: 500, tps: 5490.00, reads: 54200.04, writes: 21219.01, response time: 165.31ms (95%), errors: 0.00, reconnects:  0.00
[  77s] threads: 500, tps: 5478.01, reads: 54405.08, writes: 22390.03, response time: 162.75ms (95%), errors: 0.00, reconnects:  0.00
[  78s] threads: 500, tps: 5202.99, reads: 52345.86, writes: 20106.94, response time: 181.82ms (95%), errors: 0.00, reconnects:  0.00
[  79s] threads: 500, tps: 5519.00, reads: 54994.05, writes: 22318.02, response time: 153.07ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 500, tps: 5374.00, reads: 54562.02, writes: 22233.01, response time: 163.19ms (95%), errors: 0.00, reconnects:  0.00
[  81s] threads: 500, tps: 5391.42, reads: 52983.31, writes: 20716.77, response time: 155.42ms (95%), errors: 0.00, reconnects:  0.00
[  82s] threads: 500, tps: 5271.57, reads: 53737.76, writes: 21854.34, response time: 154.03ms (95%), errors: 0.00, reconnects:  0.00
[  83s] threads: 500, tps: 5554.91, reads: 55680.06, writes: 22173.62, response time: 163.34ms (95%), errors: 0.00, reconnects:  0.00
[  84s] threads: 500, tps: 5514.10, reads: 54502.98, writes: 21892.39, response time: 162.85ms (95%), errors: 0.00, reconnects:  0.00
[  85s] threads: 500, tps: 5619.97, reads: 55268.74, writes: 21595.90, response time: 160.48ms (95%), errors: 0.00, reconnects:  0.00
[  86s] threads: 500, tps: 5314.01, reads: 54976.09, writes: 22680.04, response time: 185.67ms (95%), errors: 0.00, reconnects:  0.00
[  87s] threads: 500, tps: 5589.01, reads: 54946.07, writes: 21620.03, response time: 162.03ms (95%), errors: 0.00, reconnects:  0.00
[  88s] threads: 500, tps: 5384.01, reads: 52901.05, writes: 21334.02, response time: 166.40ms (95%), errors: 0.00, reconnects:  0.00
[  89s] threads: 500, tps: 5209.99, reads: 53983.93, writes: 21736.97, response time: 170.94ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 500, tps: 5522.98, reads: 54770.82, writes: 21661.93, response time: 152.34ms (95%), errors: 0.00, reconnects:  0.00
[  91s] threads: 500, tps: 5422.01, reads: 54114.13, writes: 21571.05, response time: 157.91ms (95%), errors: 0.00, reconnects:  0.00
[  92s] threads: 500, tps: 5545.01, reads: 54948.13, writes: 22115.05, response time: 166.50ms (95%), errors: 0.00, reconnects:  0.00
[  93s] threads: 500, tps: 5367.00, reads: 54274.98, writes: 21725.99, response time: 152.75ms (95%), errors: 0.00, reconnects:  0.00
[  94s] threads: 500, tps: 5492.00, reads: 54655.99, writes: 21955.99, response time: 161.44ms (95%), errors: 0.00, reconnects:  0.00
[  95s] threads: 500, tps: 5576.94, reads: 54482.40, writes: 21830.76, response time: 158.52ms (95%), errors: 0.00, reconnects:  0.00
[  96s] threads: 500, tps: 5426.05, reads: 55985.53, writes: 22354.21, response time: 161.30ms (95%), errors: 0.00, reconnects:  0.00
[  97s] threads: 500, tps: 5430.01, reads: 54712.10, writes: 22004.04, response time: 155.19ms (95%), errors: 0.00, reconnects:  0.00
[  98s] threads: 500, tps: 5564.99, reads: 55260.95, writes: 21911.98, response time: 184.23ms (95%), errors: 0.00, reconnects:  0.00
[  99s] threads: 500, tps: 4048.99, reads: 40276.88, writes: 15951.95, response time: 249.56ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 500, tps: 1778.08, reads: 18446.82, writes: 7779.35, response time: 417.49ms (95%), errors: 0.00, reconnects:  0.00
[ 101s] threads: 500, tps: 1758.93, reads: 17577.26, writes: 7017.71, response time: 412.52ms (95%), errors: 0.00, reconnects:  0.00
[ 102s] threads: 500, tps: 1579.00, reads: 15802.01, writes: 6333.01, response time: 440.34ms (95%), errors: 0.00, reconnects:  0.00
[ 103s] threads: 500, tps: 1403.00, reads: 14029.95, writes: 5612.98, response time: 487.51ms (95%), errors: 0.00, reconnects:  0.00
[ 104s] threads: 500, tps: 1670.01, reads: 16700.05, writes: 6680.02, response time: 444.58ms (95%), errors: 0.00, reconnects:  0.00
[ 105s] threads: 500, tps: 1432.00, reads: 14245.97, writes: 5642.99, response time: 785.85ms (95%), errors: 0.00, reconnects:  0.00
[ 106s] threads: 500, tps: 4964.19, reads: 49614.85, writes: 19837.74, response time: 169.67ms (95%), errors: 0.00, reconnects:  0.00
[ 107s] threads: 500, tps: 4857.82, reads: 47485.22, writes: 18469.31, response time: 168.05ms (95%), errors: 0.00, reconnects:  0.00
[ 108s] threads: 500, tps: 4965.01, reads: 49661.15, writes: 20312.06, response time: 176.45ms (95%), errors: 0.00, reconnects:  0.00
[ 109s] threads: 500, tps: 5275.99, reads: 51619.94, writes: 20370.98, response time: 159.57ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 500, tps: 5006.99, reads: 51843.93, writes: 21063.97, response time: 158.38ms (95%), errors: 0.00, reconnects:  0.00
[ 111s] threads: 500, tps: 5325.01, reads: 52812.07, writes: 20815.03, response time: 157.58ms (95%), errors: 0.00, reconnects:  0.00
[ 112s] threads: 500, tps: 5340.88, reads: 53900.76, writes: 21712.50, response time: 171.25ms (95%), errors: 0.00, reconnects:  0.00
[ 113s] threads: 500, tps: 5478.12, reads: 55093.25, writes: 22043.50, response time: 170.02ms (95%), errors: 0.00, reconnects:  0.00
[ 114s] threads: 500, tps: 5555.99, reads: 54604.92, writes: 21614.97, response time: 163.44ms (95%), errors: 0.00, reconnects:  0.00
[ 115s] threads: 500, tps: 5170.01, reads: 51439.11, writes: 20439.04, response time: 174.62ms (95%), errors: 0.00, reconnects:  0.00
[ 116s] threads: 500, tps: 4917.00, reads: 50049.99, writes: 20428.00, response time: 194.89ms (95%), errors: 0.00, reconnects:  0.00
[ 117s] threads: 500, tps: 5523.97, reads: 54808.73, writes: 21542.90, response time: 159.95ms (95%), errors: 0.00, reconnects:  0.00
[ 118s] threads: 500, tps: 5303.01, reads: 53917.06, writes: 22101.03, response time: 160.43ms (95%), errors: 0.00, reconnects:  0.00
[ 119s] threads: 500, tps: 5590.01, reads: 54416.08, writes: 20999.03, response time: 164.17ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 500, tps: 5417.02, reads: 54656.16, writes: 22284.06, response time: 159.52ms (95%), errors: 0.00, reconnects:  0.00
[ 121s] threads: 500, tps: 5128.00, reads: 50065.00, writes: 19966.00, response time: 184.45ms (95%), errors: 0.00, reconnects:  0.00
[ 122s] threads: 500, tps: 5299.00, reads: 54403.99, writes: 21789.00, response time: 174.25ms (95%), errors: 0.00, reconnects:  0.00
[ 123s] threads: 500, tps: 5765.00, reads: 56915.97, writes: 22597.99, response time: 210.98ms (95%), errors: 0.00, reconnects:  0.00
[ 124s] threads: 500, tps: 5123.00, reads: 52618.99, writes: 21498.00, response time: 186.39ms (95%), errors: 0.00, reconnects:  0.00
[ 125s] threads: 500, tps: 5319.99, reads: 53069.91, writes: 21149.96, response time: 189.03ms (95%), errors: 0.00, reconnects:  0.00
[ 126s] threads: 500, tps: 5433.02, reads: 53693.18, writes: 21455.07, response time: 167.00ms (95%), errors: 0.00, reconnects:  0.00
[ 127s] threads: 500, tps: 5509.99, reads: 55097.94, writes: 22086.97, response time: 162.36ms (95%), errors: 0.00, reconnects:  0.00
[ 128s] threads: 500, tps: 5463.00, reads: 55158.98, writes: 22157.99, response time: 159.09ms (95%), errors: 0.00, reconnects:  0.00
[ 129s] threads: 500, tps: 5540.01, reads: 55735.10, writes: 22339.04, response time: 176.03ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 500, tps: 5463.98, reads: 54452.81, writes: 21598.92, response time: 154.17ms (95%), errors: 0.00, reconnects:  0.00
[ 131s] threads: 500, tps: 5242.01, reads: 52398.06, writes: 20998.03, response time: 154.22ms (95%), errors: 0.00, reconnects:  0.00
[ 132s] threads: 500, tps: 5421.00, reads: 54036.98, writes: 21642.99, response time: 150.12ms (95%), errors: 0.00, reconnects:  0.00
[ 133s] threads: 500, tps: 5443.01, reads: 52626.09, writes: 20878.04, response time: 170.33ms (95%), errors: 0.00, reconnects:  0.00
[ 134s] threads: 500, tps: 5324.97, reads: 54190.74, writes: 21541.90, response time: 167.70ms (95%), errors: 0.00, reconnects:  0.00
[ 135s] threads: 500, tps: 5419.99, reads: 55044.93, writes: 22243.97, response time: 197.83ms (95%), errors: 0.00, reconnects:  0.00
[ 136s] threads: 500, tps: 5243.02, reads: 52130.16, writes: 20575.06, response time: 175.14ms (95%), errors: 0.00, reconnects:  0.00
[ 137s] threads: 500, tps: 5415.01, reads: 53815.07, writes: 21361.03, response time: 172.12ms (95%), errors: 0.00, reconnects:  0.00
[ 138s] threads: 500, tps: 5159.00, reads: 52188.02, writes: 21356.01, response time: 173.89ms (95%), errors: 0.00, reconnects:  0.00
[ 139s] threads: 500, tps: 5454.73, reads: 54190.30, writes: 21540.93, response time: 167.65ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 500, tps: 5465.27, reads: 55246.77, writes: 22245.11, response time: 160.10ms (95%), errors: 0.00, reconnects:  0.00
[ 141s] threads: 500, tps: 5453.96, reads: 54454.56, writes: 21768.82, response time: 170.48ms (95%), errors: 0.00, reconnects:  0.00
[ 142s] threads: 500, tps: 5459.04, reads: 54754.37, writes: 22013.15, response time: 149.00ms (95%), errors: 0.00, reconnects:  0.00
[ 143s] threads: 500, tps: 5660.01, reads: 54959.08, writes: 21779.03, response time: 157.06ms (95%), errors: 0.00, reconnects:  0.00
