Tue Feb 23 02:55:51 EST 2021
kunlun oltp-randtabs.lua, write only, 1st run
sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 500
Report intermediate results every 1 second(s)
Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 500, tps: 7898.45, reads: 0.00, writes: 33593.68, response time: 132.98ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 500, tps: 5260.00, reads: 0.00, writes: 21019.01, response time: 181.49ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 500, tps: 7593.97, reads: 0.00, writes: 30142.89, response time: 183.35ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 500, tps: 10761.96, reads: 0.00, writes: 43176.85, response time: 76.34ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 500, tps: 10463.81, reads: 0.00, writes: 41756.25, response time: 80.50ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 500, tps: 9255.11, reads: 0.00, writes: 36975.46, response time: 137.43ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 500, tps: 10839.01, reads: 0.00, writes: 43373.04, response time: 79.78ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 500, tps: 10696.14, reads: 0.00, writes: 43036.58, response time: 79.04ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 500, tps: 10334.92, reads: 0.00, writes: 41166.69, response time: 100.57ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 500, tps: 10878.90, reads: 0.00, writes: 43249.60, response time: 82.22ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 500, tps: 10925.10, reads: 0.00, writes: 43981.41, response time: 83.44ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 500, tps: 10349.01, reads: 0.00, writes: 41452.03, response time: 82.94ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 500, tps: 10476.99, reads: 0.00, writes: 41899.98, response time: 79.87ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 500, tps: 10824.97, reads: 0.00, writes: 43241.90, response time: 74.85ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 500, tps: 10834.04, reads: 0.00, writes: 43315.16, response time: 81.88ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 500, tps: 10941.89, reads: 0.00, writes: 43831.54, response time: 77.10ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 500, tps: 10004.06, reads: 0.00, writes: 39870.23, response time: 99.65ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 500, tps: 10797.97, reads: 0.00, writes: 43264.90, response time: 79.01ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 500, tps: 10521.04, reads: 0.00, writes: 41740.18, response time: 85.46ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 500, tps: 10874.47, reads: 0.00, writes: 43659.88, response time: 78.76ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 500, tps: 10997.86, reads: 0.00, writes: 44147.42, response time: 83.29ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 500, tps: 10631.68, reads: 0.00, writes: 42524.72, response time: 84.27ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 500, tps: 10648.01, reads: 0.00, writes: 42680.06, response time: 83.04ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 500, tps: 10644.26, reads: 0.00, writes: 42518.08, response time: 83.19ms (95%), errors: 0.00, reconnects:  0.00
