Tue Feb 23 03:06:22 EST 2021
kunlun update_non_index.lua 1st run
sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 500
Report intermediate results every 1 second(s)
Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 500, tps: 0.00, reads: 0.00, writes: 6221.59, response time: 208.59ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 500, tps: 0.00, reads: 0.00, writes: 7374.00, response time: 224.13ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 500, tps: 0.00, reads: 0.00, writes: 6378.01, response time: 203.90ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 500, tps: 0.00, reads: 0.00, writes: 7236.01, response time: 186.17ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 500, tps: 0.00, reads: 0.00, writes: 7395.00, response time: 172.74ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 500, tps: 0.00, reads: 0.00, writes: 4581.01, response time: 249.71ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 500, tps: 0.00, reads: 0.00, writes: 4583.98, response time: 631.22ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 500, tps: 0.00, reads: 0.00, writes: 22521.08, response time: 58.19ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 500, tps: 0.00, reads: 0.00, writes: 20331.97, response time: 61.03ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 500, tps: 0.00, reads: 0.00, writes: 26502.84, response time: 48.75ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 500, tps: 0.00, reads: 0.00, writes: 26788.89, response time: 46.11ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 500, tps: 0.00, reads: 0.00, writes: 31761.01, response time: 37.34ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 500, tps: 0.00, reads: 0.00, writes: 35059.34, response time: 35.67ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 500, tps: 0.00, reads: 0.00, writes: 37029.91, response time: 36.54ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 500, tps: 0.00, reads: 0.00, writes: 37896.93, response time: 32.60ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 500, tps: 0.00, reads: 0.00, writes: 37962.83, response time: 32.55ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 500, tps: 0.00, reads: 0.00, writes: 38473.17, response time: 30.95ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 500, tps: 0.00, reads: 0.00, writes: 37287.25, response time: 37.99ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 500, tps: 0.00, reads: 0.00, writes: 37748.65, response time: 34.51ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 500, tps: 0.00, reads: 0.00, writes: 38832.13, response time: 30.35ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 500, tps: 0.00, reads: 0.00, writes: 36730.56, response time: 34.53ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 500, tps: 0.00, reads: 0.00, writes: 37724.55, response time: 31.21ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 500, tps: 0.00, reads: 0.00, writes: 37719.01, response time: 31.96ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 500, tps: 0.00, reads: 0.00, writes: 37811.20, response time: 32.64ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 500, tps: 0.00, reads: 0.00, writes: 38075.27, response time: 33.03ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 500, tps: 0.00, reads: 0.00, writes: 37109.39, response time: 36.79ms (95%), errors: 0.00, reconnects:  0.00
[  27s] threads: 500, tps: 0.00, reads: 0.00, writes: 38094.02, response time: 34.60ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 500, tps: 0.00, reads: 0.00, writes: 37110.93, response time: 35.82ms (95%), errors: 0.00, reconnects:  0.00
[  29s] threads: 500, tps: 0.00, reads: 0.00, writes: 37906.14, response time: 33.03ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 500, tps: 0.00, reads: 0.00, writes: 37930.38, response time: 33.57ms (95%), errors: 0.00, reconnects:  0.00
